pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y,pt12_cam1_X,pt12_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
222.881791,729.042226,23.77124,605.444325,43.76307,511.097393,-62.696194,452.377472,38.969879,447.863522,226.406741,368.507937,316.098447,403.564189,560.658341,648.819276,336.558865,689.654728,116.980391,689.401555,125.329912,709.633441,NaN,NaN
221.564853,730.061961,24.745523,604.562729,45.056574,507.967576,-62.192935,452.839535,39.998313,447.466714,226.91,368.97,317.45,404.67,NaN,NaN,NaN,NaN,117.511497,688.113093,125.870003,709.633441,NaN,NaN
219.747915,730.552093,26.014662,603.43553,46.526702,506.063721,-61.262935,452.849535,41.26253,446.501111,227.84,368.98,318.57,405.35,NaN,NaN,NaN,NaN,118.308726,688.419415,125.599957,709.912573,NaN,NaN
218.339446,731.071828,26.399232,602.994732,47.026702,505.926703,-60.372935,452.899535,41.609686,445.76831,228.73,369.03,320.61,405.84,NaN,NaN,NaN,NaN,118.308726,687.861151,125.329912,709.354309,NaN,NaN
217.022509,732.091563,26.783802,602.62193,47.966957,505.789685,-58.582935,452.839535,42.26253,445.76831,230.52,368.97,322.58,405.65,NaN,NaN,NaN,NaN,118.848817,687.582019,125.329912,709.354309,NaN,NaN
215.61404,733.111298,27.078658,601.681132,48.790333,505.789685,-57.122935,452.679535,42.109686,445.302707,231.98,368.81,324.15,405.18,NaN,NaN,NaN,NaN,118.848817,688.140283,126.140049,709.633441,NaN,NaN
214.705571,734.131033,27.078658,600.740334,49.583836,505.700739,-55.452935,452.689535,43.22106,444.802707,233.65,368.82,324.58,404.58,NaN,NaN,NaN,NaN,118.308726,687.861151,125.329912,709.633441,NaN,NaN
213.388633,735.150767,27.194089,598.41794,50.599582,505.529556,-54.102935,452.939535,43.007768,444.819158,235,369.07,325.97,404.93,NaN,NaN,NaN,NaN,118.308726,687.861151,125.329912,709.633441,NaN,NaN
212.888633,736.170502,27.104376,596.536343,52.282369,504.917024,-52.932935,453.179535,44.313455,444.307692,236.17,369.31,327.21,405.8,NaN,NaN,NaN,NaN,118.578772,687.861151,125.599957,709.633441,NaN,NaN
211.980165,737.700105,26.809519,594.968346,53.373762,504.917024,-51.862935,453.559535,46.183912,443.830623,237.24,369.69,328.34,407.07,NaN,NaN,NaN,NaN,118.578772,687.582019,125.870003,708.796046,NaN,NaN
211.078874,739.155022,27.604376,594.968346,54.419459,504.917024,-50.512935,454.009535,48.424828,442.807692,238.59,370.14,329.26,407.37,NaN,NaN,NaN,NaN,118.848817,687.861151,126.68014,708.516914,NaN,NaN
210.033146,740.437559,27.899232,594.841148,55.556549,504.917024,-49.042935,453.859535,50.489599,441.819158,240.06,369.99,330.63,406.63,NaN,NaN,NaN,NaN,119.118863,687.861151,126.289821,709.191705,NaN,NaN
209.13884,741.002634,29.469905,594.66392,56.647943,504.304492,-48.092935,453.349535,52.82372,440.92235,241.01,369.48,332.11,406.06,NaN,NaN,NaN,NaN,118.848817,688.140283,126.599957,709.749969,NaN,NaN
207.744535,741.893903,31.395831,593.938856,57.739336,504.917024,-47.102935,453.009535,54.629407,439.433815,242,369.14,333.64,404.5,NaN,NaN,NaN,NaN,119.118863,687.302887,126.829912,709.749969,NaN,NaN
206.047383,742.285171,33.386077,592.773151,59.83073,504.304492,-45.572935,453.319535,57.870322,437.945281,243.53,369.45,334.23,404.74,NaN,NaN,NaN,NaN,119.118863,687.861151,127.559866,708.633441,NaN,NaN
203.955925,742.785171,35.450073,592.459551,62.059214,503.191961,-43.522935,453.559535,60.046467,437.456747,245.58,369.69,335.31,404.46,NaN,NaN,NaN,NaN,119.388908,687.861151,127.730726,708.904657,NaN,NaN
202.713043,743.17644,38.006942,590.988729,63.742001,502.579429,-41.492935,454.199535,62.287383,436.479678,247.61,370.33,336.93,403.79,NaN,NaN,NaN,NaN,117.65715,688.444515,126.923605,708.867512,NaN,NaN
200.818738,743.458978,40.377313,589.988729,66.076005,502.022849,-38.542935,453.549535,65.269214,435.514076,250.56,369.68,338.57,403.1,NaN,NaN,NaN,NaN,118.15715,688.921733,126.403946,708.725608,NaN,NaN
199.575857,743.958978,42.551047,589.660723,69.309764,501.659867,-36.062935,452.899535,67.880588,435.048473,253.04,369.03,341.25,401.36,NaN,NaN,NaN,NaN,118.78724,688.421733,127.329022,708.793224,NaN,NaN
198.36658,744.047507,44.526356,589.660723,72.866899,501.433903,-33.102935,451.999535,70.556732,434.025542,256,368.13,344.37,399.9,NaN,NaN,NaN,NaN,119.71872,687.921733,128.077165,708.293224,NaN,NaN
197.437043,744.047507,46.106602,589.252368,76.747409,501.296885,-29.522935,451.129535,73.214708,432.571405,259.58,367.26,347.68,398.86,NaN,NaN,NaN,NaN,120.88307,687.398951,129.04156,707.614176,NaN,NaN
195.577969,744.569198,47.291788,589.344014,80.304543,501.296885,-25.502935,450.039535,75.955624,432.08287,263.6,366.17,351.23,398.11,NaN,NaN,NaN,NaN,122.502964,686.811386,130.620196,706.897983,NaN,NaN
194.183664,744.830044,49.662158,589.344014,84.50843,500.659867,-20.572935,448.989535,79.631769,431.594336,268.53,365.12,355.08,397.09,NaN,NaN,NaN,NaN,124.598794,685.546996,132.179173,706.181791,NaN,NaN
192.789359,745.873427,52.822652,588.527305,88.152571,500.296885,-16.032935,447.769535,84.548829,431.105802,273.07,363.9,359.81,395.25,NaN,NaN,NaN,NaN,128.338368,683.577568,135.123908,705.070358,NaN,NaN
191.395054,746.655964,55.588084,588.527305,93.88633,498.433903,-11.112935,446.259535,89.206805,430.117268,277.99,362.39,364.46,392.33,NaN,NaN,NaN,NaN,131.886282,680.989438,137.356105,704.39131,NaN,NaN
189.768364,746.895119,59.14364,588.435659,101.349438,497.204114,-5.542935,443.359535,95.670468,428.174597,283.56,359.49,369.21,388.91,NaN,NaN,NaN,NaN,137.245643,679.077568,139.111906,703.953905,NaN,NaN
189.606443,746.677656,65.069565,587.61895,107.595773,495.564684,1.157065,440.549535,103.634131,425.731926,290.26,356.68,375.71,386.12,NaN,NaN,NaN,NaN,141.437302,676.636919,142.272399,703.046451,NaN,NaN
187.212138,746.677656,70.897316,586.739135,115.890361,494.564684,8.997065,438.589535,111.727336,423.277789,298.1,354.72,383.68,383.4,NaN,NaN,NaN,NaN,145.381873,674.66595,144.906144,702.501978,NaN,NaN
186.282601,747.177656,78.789639,585.832704,125.461702,492.738473,16.63682,435.526876,121.496685,421.358049,306.53,352.92,392.02,380.49,NaN,NaN,NaN,NaN,150.272676,672.950384,148.76897,702.501978,NaN,NaN
186.317833,746.938502,88.483146,585.077177,137.390157,490.854332,27.005059,433.689281,132.747867,419.369515,315.62,350.71,401.41,377.22,NaN,NaN,NaN,NaN,159.344254,671.604556,154.51067,702.925916,NaN,NaN
184.317833,747.91681,100.212758,583.253764,151.15789,489.912262,39.556084,432.464217,145.351337,416.93831,325.56,348.37,411.44,373.46,NaN,NaN,NaN,NaN,168.073391,670.976807,165.307959,699.561623,NaN,NaN
182.261607,748.481885,110.482006,581.753764,164.666706,488.970192,51.058749,429.901558,159.537747,415.961241,336.28,345.86,422.51,370.66,NaN,NaN,NaN,NaN,177.949935,671.385162,176.369688,698.744914,NaN,NaN
179.730875,748.752077,124.512802,580.847333,178.434439,490.796403,63.75,429.01,173.141217,415.995639,348.87,346.05,435.54,370.37,NaN,NaN,NaN,NaN,189.777095,671.793516,189.011663,695.069724,NaN,NaN
177.150918,750.0373,139.735911,582.20698,193.202172,492.738473,76.75,430.12,188.003772,416.93831,362.78,347.18,449.63,371.06,NaN,NaN,NaN,NaN,203.838824,672.793516,203.233885,694.253015,NaN,NaN
174.864671,751.501217,156.835944,585.832704,210.40738,496.506754,92.21,432.44,204.866326,420.380981,377.83,349.88,465.37,373.82,NaN,NaN,NaN,NaN,219.036354,675.560352,215.553693,694.181793,NaN,NaN
172.788446,751.822523,177.443676,592.177721,227.612588,501.217105,110.450968,437.977003,221.145941,424.789255,393.62,354.23,481.84,377.96,NaN,NaN,NaN,NaN,235.833528,679.48103,230.098083,694.253015,NaN,NaN
173.357209,752.822523,195.859096,601.242031,244.583306,509.124177,127.92,446.29,239.042625,431.292554,410.97,359.78,500.07,383.42,NaN,NaN,NaN,NaN,249.899372,684.109048,246.690675,695.478078,NaN,NaN
172.71222,753.286441,215.589903,613.025633,262.873283,517.689704,147.147078,456.352957,257.404301,440.043355,428.11,368,518.27,390.94,NaN,NaN,NaN,NaN,264.014598,690.914957,263.751224,700.443229,NaN,NaN
171.280984,752.786441,235.7876,627.187971,281.134146,531.594958,163.792162,470.441187,271.974069,453.439439,446.68,380.95,537.55,403.06,NaN,NaN,NaN,NaN,277.166613,700.777579,NaN,NaN,NaN,NaN
167.849747,752.786441,249.680435,638.610931,295.566932,543.945684,172.127803,482.091951,285.901394,465.598513,466.15,395.29,556.86,417.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
164.418511,754.429052,256.311106,643.180115,301.339553,549.164531,175.038186,491.075751,293.638798,469.941039,481.799055,403.593792,569.54,428.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
161.91478,754.750358,259.837076,646.270188,302.614296,551.456734,176.12958,495.56765,296.276537,470.039572,486.56,407.16,573.022692,431.508325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
161.91478,754.429052,260.048148,648.227806,301.072202,553.290496,176.857176,499.651196,295.894874,469.96798,484.04,408.47,570.84,434.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
160.201027,754.571664,258.813514,649.134228,299.346945,553.790496,176.12958,502.918032,294.368222,469.111164,480.69,409.71,567.88,436.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
159.079413,754.720492,258.005067,649.134228,297.304851,554.665818,174.174388,505.184868,293.986559,470.396388,478.43,411.14,565.71,438.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
159.197297,754.89297,257.735585,649.134228,295.671175,554.248936,172.127803,506.184868,292.078244,470.396388,477.66,413.06,565.57,441.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
156.911049,755.714276,257.466103,649.412778,294.854338,554.665818,170.672612,506.593222,290.933255,471.181611,480.348242,414.801008,567.35,446.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
156.552308,755.035581,256.388173,649.412778,294.445919,553.748936,168.853623,506.184868,290.933255,470.324795,481.7,416.77,567.92,449.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
155.693566,755.214276,254.232315,648.298579,293.220662,554.207377,168.126027,506.184868,290.051592,469.46798,481.9,417.01,567.08,448.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
154.907318,755.678193,252.076457,645.791632,291.995406,553.332055,167.398431,506.593222,289.406603,470.253203,479.58,416.31,566.15,448.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
154.407318,755.678193,250.19008,642.727586,291.178568,552.373615,166.670836,506.184868,289.02494,469.896388,478.24,415.29,565.37,447.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
153.907318,755.678193,248.034222,639.10644,290.270149,551.998293,165.715644,506.684868,289.02494,469.539572,477.07,414.28,565.1,446.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
148.334824,756.035581,246.147846,636.042393,289.953311,550.998293,164.851846,507.184868,289.906603,469.896388,476.1,413.42,564.79,446.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130.507537,752.465135,244.530952,633.813996,289.544893,551.539853,164.488049,507.001577,289.788266,469.111164,475.58,412.8,564.23,447.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
121.471353,726.91566,243.453023,632.142698,288.728055,550.539853,163.760453,507.409931,289.02494,468.682757,475.11,412.63,563.74,447.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131.467171,687.4385,242.105611,630.74995,288.319636,550.998293,162.669059,507.818286,289.288266,468.682757,474.94,412.82,563.42,447.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
143.345425,654.853807,241.027682,628.800102,287.502798,550.998293,161.305262,507.909931,288.551592,468.611164,474.97,412.74,562.9,446.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
148.934653,629.147902,239.410788,627.128804,287.094379,551.456734,160.258677,508.226641,288.788266,468.254349,474.95,412.56,562.62,446.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
154.711406,616.549612,238.641306,626.014605,285.869123,551.915174,159.031081,508.409931,287.669929,468.754349,474.92,412.22,562.59,445.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
162.153288,608.481236,237.25493,624.900406,284.643866,551.956734,158.667283,507.818286,286.551592,468.469126,474.45,411.75,562.52,444.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
172.067264,600.002603,236.715965,624.064757,283.41861,552.373615,157.939687,508.226641,286.551592,468.11231,473.99,411.47,562.66,443.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
198.738673,588.009981,235.946483,623.286208,282.193353,551.956734,157.575889,507.818286,286.551592,468.397533,474.02,410.85,562.53,444.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
