Filename,Substrate,Incline,Indiv,Fish.Weight.g,Fish.TotalLength.cm,Premovement,continued.moving,tail.body.use,dorsoventral.bending,Ave.speed.units.s,total.stride.time.s,pectoral.stance.s,total.pelvic.stance.s,pectoral.propulsion.s,pectoralDF,pelvicDF.total,pelvicDF.part1,pelvicDF.part2,prop.pectoral.propulsion,pectoral.spread.mm
FS_00l_pb06f01,FS,0,pb06,15,14,n,y,n,y,0.03845485,0.55,0.41,0.445,0.325,0.745454545,0.809090909,0.4,0.409090909,0.590909091,8.47
FS_00l_pb06f03,FS,0,pb06,15,14,y,y,n,y,0.03845485,0.7,0.37,0.585,0.23,0.528571429,0.835714286,0.164285714,0.671428571,0.328571429,
FS_00l_pb06f04,FS,0,pb06,15,14,y,y,n,n,0.03845485,0.66,0.49,0.49,0.34,0.742424242,0.742424242,0.257575758,0.484848485,0.515151515,8.76
FS_00l_pb06f05,FS,0,pb06,15,14,y,y,n,n,0.03845485,0.61,0.45,0.47,0.31,0.737704918,0.770491803,0.278688525,0.491803279,0.508196721,10.77
FS_00l_pb06f06,FS,0,pb06,15,14,n,y,n,n,0.03845485,0.45,0.33,0.32,0.21,0.733333333,0.711111111,0.177777778,0.533333333,0.466666667,7.87
FS_00l_pb06f10,FS,0,pb06,15,14,y,y,n,y,0.03845485,0.82,0.6,0.69,0.43,0.731707317,0.841463415,0.365853659,0.475609756,0.524390244,
FS_00l_pb06f11,FS,0,pb06,15,14,y,y,n,y,0.03845485,0.67,0.475,0.59,0.31,0.708955224,0.880597015,0.343283582,0.537313433,0.462686567,13.56
FS_00l_pb07f02,FS,0,pb07,8,13,n,y,n,y,0.035641356,0.605,0.505,0.45,0.385,0.834710744,0.743801653,0.380165289,0.363636364,0.636363636,
FS_00l_pb07f03,FS,0,pb07,8,13,n,y,n,y,0.035641356,0.69,0.5,0.52,0.37,0.724637681,0.753623188,0.289855072,0.463768116,0.536231884,
FS_00l_pb07f04,FS,0,pb07,8,13,y,y,n,y,0.035641356,0.5,0.39,0.37,0.27,0.78,0.74,0.28,0.46,0.54,
FS_00l_pb07f05,FS,0,pb07,8,13,n,y,n,y,0.035641356,0.84,0.67,0.6,0.49,0.797619048,0.714285714,0.297619048,0.416666667,0.583333333,7.51
FS_00l_pb07f06,FS,0,pb07,8,13,n,y,n,y,0.035641356,0.68,0.47,0.57,0.28,0.691176471,0.838235294,0.25,0.588235294,0.411764706,5.92
FS_00l_pb07f07,FS,0,pb07,8,13,n,y,n,y,0.035641356,0.515,0.375,0.41,0.29,0.72815534,0.796116505,0.359223301,0.436893204,0.563106796,6.73
FS_00l_pb07f08,FS,0,pb07,8,13,y,y,n,n,0.035641356,0.59,0.43,0.42,0.3,0.728813559,0.711864407,0.220338983,0.491525424,0.508474576,7.64
FS_00l_pb07f09,FS,0,pb07,8,13,y,y,n,n,0.035641356,0.485,0.41,0.315,0.31,0.845360825,0.649484536,0.288659794,0.360824742,0.639175258,8.02
FS_00l_pb07f10,FS,0,pb07,8,13,y,y,n,n,0.035641356,0.61,0.475,0.405,0.345,0.778688525,0.663934426,0.229508197,0.43442623,0.56557377,
FS_00l_pb07f11,FS,0,pb07,8,13,y,y,n,y,0.035641356,0.575,0.465,0.405,0.305,0.808695652,0.704347826,0.234782609,0.469565217,0.530434783,
FS_00l_pb08f02,FS,0,pb08,9,15,n,y,n,y,0.035762474,0.495,0.305,0.42,0.195,0.616161616,0.848484848,0.242424242,0.606060606,0.393939394,8.61
FS_00l_pb08f03,FS,0,pb08,9,15,n,n,n,y,0.035762474,0.65,0.35,0.6,0.185,0.538461538,0.923076923,0.207692308,0.715384615,0.284615385,8.53
FS_00l_pb08f04,FS,0,pb08,9,15,n,y,y,y,0.035762474,0.455,0.28,0.455,,0.615384615,1,,,,
FS_00l_pb08f05,FS,0,pb08,9,15,y,y,y,y,0.035762474,0.46,0.34,0.42,0.2,0.739130435,0.913043478,0.347826087,0.565217391,0.434782609,6.17
FS_00l_pb08f06,FS,0,pb08,9,15,y,y,y,y,0.035762474,0.56,0.44,0.485,0.265,0.785714286,0.866071429,0.339285714,0.526785714,0.473214286,8.38
FS_00l_pb08f07,FS,0,pb08,9,15,y,y,y,y,0.035762474,0.435,0.315,0.365,0.18,0.724137931,0.83908046,0.252873563,0.586206897,0.413793103,
FS_00l_pb08f08,FS,0,pb08,9,15,n,y,y,y,0.035762474,0.54,0.41,0.52,0.22,0.759259259,0.962962963,0.37037037,0.592592593,0.407407407,
FS_00l_pb09f01,FS,0,pb09,2,7.5,n,y,y,y,0.036443261,0.76,0.53,0.725,0.335,0.697368421,0.953947368,0.394736842,0.559210526,0.440789474,
FS_00l_pb09f02,FS,0,pb09,2,7.5,n,y,y,y,0.036443261,0.57,0.49,0.49,0.42,0.859649123,0.859649123,0.596491228,0.263157895,0.736842105,
FS_00l_pb09f03,FS,0,pb09,2,7.5,y,y,y,y,0.036443261,0.345,0.225,0.305,0.13,0.652173913,0.884057971,0.260869565,0.623188406,0.376811594,4.63
FS_00l_pb09f04,FS,0,pb09,2,7.5,y,y,y,y,0.036443261,0.39,0.23,0.33,0.17,0.58974359,0.846153846,0.282051282,0.564102564,0.435897436,
FS_00l_pb09f05,FS,0,pb09,2,7.5,n,y,n,y,0.036443261,0.49,0.37,0.43,0.27,0.755102041,0.87755102,0.428571429,0.448979592,0.551020408,3.77
FS_00l_pb09f06,FS,0,pb09,2,7.5,n,y,y,y,0.036443261,0.42,0.35,0.365,0.325,0.833333333,0.869047619,0.642857143,0.226190476,0.773809524,5.02
FS_00l_pb09f07,FS,0,pb09,2,7.5,n,y,y,y,0.036443261,0.455,0.35,0.41,0.175,0.769230769,0.901098901,0.285714286,0.615384615,0.384615385,4.67
FS_00l_pb09f08,FS,0,pb09,2,7.5,n,y,n,y,0.036443261,0.48,0.32,0.4,0.17,0.666666667,0.833333333,0.1875,0.645833333,0.354166667,
FS_00l_pb09f09,FS,0,pb09,2,7.5,y,y,y,y,0.036443261,0.47,0.32,0.35,0.2,0.680851064,0.744680851,0.170212766,0.574468085,0.425531915,4.74
FS_00l_pb09f10,FS,0,pb09,2,7.5,y,y,n,y,0.036443261,0.495,0.35,0.385,0.2,0.707070707,0.777777778,0.181818182,0.595959596,0.404040404,4.74
FS_00l_pb10f01,FS,0,pb10,3,7.5,y,y,y,y,0.028446724,0.46,0.32,0.405,0.185,0.695652174,0.880434783,0.282608696,0.597826087,0.402173913,6.93
FS_00l_pb10f02,FS,0,pb10,3,7.5,y,y,y,y,0.028446724,0.575,0.41,0.475,0.3,0.713043478,0.826086957,0.347826087,0.47826087,0.52173913,
FS_00l_pb10f03,FS,0,pb10,3,7.5,n,y,n,y,0.028446724,0.65,0.415,0.54,0.31,0.638461538,0.830769231,0.307692308,0.523076923,0.476923077,5.05
FS_00l_pb10f04,FS,0,pb10,3,7.5,n,y,y,y,0.028446724,0.71,0.45,0.61,0.33,0.633802817,0.85915493,0.323943662,0.535211268,0.464788732,7.28
FS_00l_pb10f05,FS,0,pb10,3,7.5,y,y,y,y,0.028446724,0.58,0.35,0.51,0.21,0.603448276,0.879310345,0.24137931,0.637931034,0.362068966,5.11
FS_00l_pb10f06,FS,0,pb10,3,7.5,y,y,y,y,0.028446724,0.53,0.295,0.46,0.2,0.556603774,0.867924528,0.245283019,0.622641509,0.377358491,
FS_00l_pb10f07,FS,0,pb10,3,7.5,y,y,n,y,0.028446724,0.51,0.33,0.44,0.21,0.647058824,0.862745098,0.274509804,0.588235294,0.411764706,
FS_10l_pb06f06,FS,10,pb06,15,14,y,y,y,y,0.025654387,0.79,0.58,0.645,0.405,0.734177215,0.816455696,0.329113924,0.487341772,0.512658228,
FS_10l_pb06f07,FS,10,pb06,15,14,y,y,n,y,0.025654387,1.025,0.745,0.855,0.535,0.726829268,0.834146341,0.356097561,0.47804878,0.52195122,
FS_10l_pb06f08,FS,10,pb06,15,14,n,y,n,y,0.025654387,0.71,0.555,0.66,0.355,0.781690141,0.929577465,0.429577465,0.5,0.5,10.03
FS_10l_pb07f01,FS,10,pb07,8,13,y,y,n,y,0.029643375,0.795,0.605,0.55,0.45,0.761006289,0.691823899,0.257861635,0.433962264,0.566037736,
FS_10l_pb07f02,FS,10,pb07,8,13,y,y,y,y,0.029643375,0.63,0.54,0.495,0.37,0.857142857,0.785714286,0.373015873,0.412698413,0.587301587,
FS_10l_pb07f03,FS,10,pb07,8,13,y,y,y,y,0.029643375,0.53,0.4,0.465,0.25,0.754716981,0.877358491,0.349056604,0.528301887,0.471698113,
FS_10l_pb07f04,FS,10,pb07,8,13,n,y,n,y,0.029643375,0.54,0.46,0.47,0.255,0.851851852,0.87037037,0.342592593,0.527777778,0.472222222,
FS_10l_pb07f05,FS,10,pb07,8,13,y,y,y,y,0.029643375,0.68,0.485,0.63,0.26,0.713235294,0.926470588,0.308823529,0.617647059,0.382352941,7.69
FS_10l_pb07f07,FS,10,pb07,8,13,y,n,y,y,0.029643375,0.87,0.59,0.75,0.4,0.67816092,0.862068966,0.32183908,0.540229885,0.459770115,
FS_10l_pb08f01,FS,10,pb08,9,15,n,y,y,y,0.029034226,0.53,0.335,0.475,0.28,0.632075472,0.896226415,0.424528302,0.471698113,0.528301887,6.61
FS_10l_pb08f02,FS,10,pb08,9,15,y,y,y,y,0.029034226,0.585,0.4,0.53,0.195,0.683760684,0.905982906,0.239316239,0.666666667,0.333333333,
FS_10l_pb08f03,FS,10,pb08,9,15,n,y,y,y,0.029034226,0.44,0.275,0.4,0.19,0.625,0.909090909,0.340909091,0.568181818,0.431818182,7.02
FS_10l_pb08f04,FS,10,pb08,9,15,y,y,y,y,0.029034226,0.59,0.415,0.495,0.385,0.703389831,0.838983051,0.491525424,0.347457627,0.652542373,
FS_10l_pb08f06,FS,10,pb08,9,15,n,y,y,y,0.029034226,0.57,0.32,0.495,0.225,0.561403509,0.868421053,0.263157895,0.605263158,0.394736842,
FS_10l_pb09f03,FS,10,pb09,2,7.5,n,y,y,y,0.019520885,0.705,0.425,0.615,0.29,0.602836879,0.872340426,0.283687943,0.588652482,0.411347518,
FS_10l_pb09f04,FS,10,pb09,2,7.5,n,y,y,y,0.019520885,0.67,0.54,0.64,0.48,0.805970149,0.955223881,0.671641791,0.28358209,0.71641791,
FS_10l_pb09f05,FS,10,pb09,2,7.5,y,y,y,y,0.019520885,0.625,0.41,0.49,0.33,0.656,0.784,0.312,0.472,0.528,4.06
FS_10l_pb09f06,FS,10,pb09,2,7.5,n,y,y,y,0.019520885,0.56,0.385,0.505,0.33,0.6875,0.901785714,0.491071429,0.410714286,0.589285714,4.61
FS_10l_pb09f07,FS,10,pb09,2,7.5,y,y,y,y,0.019520885,0.7,0.39,0.625,0.23,0.557142857,0.892857143,0.221428571,0.671428571,0.328571429,6.24
FS_10l_pb10f01,FS,10,pb10,3,7.5,n,y,y,y,0.008914288,0.495,0.345,0.44,0.22,0.696969697,0.888888889,0.333333333,0.555555556,0.444444444,
FS_20l_pb06f01,FS,20,pb06,15,14,y,y,y,y,0.025654387,1,0.72,0.98,0.62,0.72,0.98,0.6,0.38,0.62,12.83
FS_20l_pb06f03,FS,20,pb06,15,14,n,y,y,y,0.025654387,0.935,0.575,0.885,0.375,0.614973262,0.946524064,0.347593583,0.598930481,0.401069519,
FS_20l_pb06f04,FS,20,pb06,15,14,y,n,y,y,0.025654387,1.18,0.62,1.12,0.26,0.525423729,0.949152542,0.169491525,0.779661017,0.220338983,
FS_20l_pb06f09,FS,20,pb06,15,14,n,y,y,y,0.025654387,0.44,0.335,0.37,0.265,0.761363636,0.840909091,0.443181818,0.397727273,0.602272727,
FS_20l_pb06f10,FS,20,pb06,15,14,y,n,y,y,0.025654387,0.905,0.5,0.855,0.34,0.552486188,0.944751381,0.320441989,0.624309392,0.375690608,
FS_20l_pb06f11,FS,20,pb06,15,14,y,y,y,y,0.025654387,0.515,0.435,0.435,0.4,0.844660194,0.844660194,0.621359223,0.223300971,0.776699029,
FS_20l_pb07f01,FS,20,pb07,8,13,y,n,y,y,0.029643375,1.05,0.83,0.965,0.345,0.79047619,0.919047619,0.247619048,0.671428571,0.328571429,
FS_20l_pb07f02,FS,20,pb07,8,13,y,y,y,y,0.029643375,0.585,0.455,0.545,0.335,0.777777778,0.931623932,0.504273504,0.427350427,0.572649573,
FS_20l_pb07f03,FS,20,pb07,8,13,y,y,y,y,0.029643375,1.36,1.08,1.2,0.67,0.794117647,0.882352941,0.375,0.507352941,0.492647059,
FS_20l_pb07f04,FS,20,pb07,8,13,y,y,y,y,0.029643375,0.825,0.685,0.61,0.45,0.83030303,0.739393939,0.284848485,0.454545455,0.545454545,
FS_20l_pb08f01,FS,20,pb08,9,15,n,y,y,y,0.027526348,0.52,0.45,0.49,0.37,0.865384615,0.942307692,0.653846154,0.288461538,0.711538462,7.57
FS_20l_pb08f02,FS,20,pb08,9,15,n,y,y,y,0.027526348,0.555,0.48,0.465,0.425,0.864864865,0.837837838,0.603603604,0.234234234,0.765765766,
FS_20l_pb08f03,FS,20,pb08,9,15,y,y,y,y,0.027526348,0.73,0.54,0.7,0.46,0.739726027,0.95890411,0.589041096,0.369863014,0.630136986,7.56
FS_20l_pb08f05,FS,20,pb08,9,15,n,y,y,y,0.027526348,0.49,0.39,0.42,0.37,0.795918367,0.857142857,0.612244898,0.244897959,0.755102041,
FS_20l_pb09f01,FS,20,pb09,2,7.5,n,y,y,y,0.020081998,0.915,0.72,0.865,0.675,0.786885246,0.945355191,0.683060109,0.262295082,0.737704918,4.31
FS_20l_pb09f02,FS,20,pb09,2,7.5,y,y,y,y,0.020081998,0.515,0.44,0.37,0.405,0.854368932,0.718446602,0.504854369,0.213592233,0.786407767,6.16
FS_20l_pb09f03,FS,20,pb09,2,7.5,n,y,y,y,0.020081998,0.61,0.46,0.595,0.235,0.754098361,0.975409836,0.360655738,0.614754098,0.385245902,4.61
FS_20l_pb09f05,FS,20,pb09,2,7.5,y,y,y,y,0.020081998,0.54,0.52,0.475,0.495,0.962962963,0.87962963,0.796296296,0.083333333,0.916666667,
FS_20l_pb10f01,FS,20,pb10,3,7.5,n,y,y,y,0.008914288,0.365,0.33,0.33,0.29,0.904109589,0.904109589,0.698630137,0.205479452,0.794520548,
FS_20l_pb10f03,FS,20,pb10,3,7.5,n,y,y,y,0.008914288,0.405,0.305,0.385,0.275,0.75308642,0.950617284,0.62962963,0.320987654,0.679012346,
FS_20l_pb10f04,FS,20,pb10,3,7.5,n,f,n,y,0.008914288,0.8,0.565,0.73,0.29,0.70625,0.9125,0.275,0.6375,0.3625,
GM_00l_pb06f01,GM,0,pb06,15,14,y,y,n,n,0.026600119,0.52,0.45,0.415,0.28,0.865384615,0.798076923,0.336538462,0.461538462,0.538461538,9.57
GM_00l_pb06f02,GM,0,pb06,15,14,n,y,n,n,0.026600119,0.67,0.58,0.57,0.345,0.865671642,0.850746269,0.365671642,0.485074627,0.514925373,
GM_00l_pb06f06,GM,0,pb06,15,14,n,y,n,n,0.026600119,0.78,0.645,0.62,0.4,0.826923077,0.794871795,0.307692308,0.487179487,0.512820513,9.53
GM_00l_pb06f07,GM,0,pb06,15,14,y,n,n,n,0.026600119,1.22,1.12,1,0.53,0.918032787,0.819672131,0.254098361,0.56557377,0.43442623,9.38
GM_00l_pb06f08,GM,0,pb06,15,14,y,y,n,n,0.026600119,1.345,1.23,1.04,0.65,0.914498141,0.773234201,0.256505576,0.516728625,0.483271375,8.82
GM_00l_pb07f01,GM,0,pb07,8,13,y,n,n,n,0.104114027,0.84,0.66,0.695,0.305,0.785714286,0.827380952,0.19047619,0.636904762,0.363095238,
GM_00l_pb07f04,GM,0,pb07,8,13,n,y,n,n,0.104114027,0.185,0.14,0.145,0.095,0.756756757,0.783783784,0.297297297,0.486486486,0.513513514,7.46
GM_00l_pb07f06,GM,0,pb07,8,13,n,y,n,n,0.104114027,0.595,0.565,0.54,0.145,0.949579832,0.907563025,0.151260504,0.756302521,0.243697479,7.3
GM_00l_pb07f07,GM,0,pb07,8,13,n,y,y,n,0.104114027,0.235,0.19,0.15,0.165,0.808510638,0.638297872,0.340425532,0.29787234,0.70212766,7.48
GM_00l_pb07f08,GM,0,pb07,8,13,y,y,n,n,0.104114027,0.32,0.25,0.215,0.18,0.78125,0.671875,0.234375,0.4375,0.5625,6.86
GM_00l_pb07f10,GM,0,pb07,8,13,y,y,n,n,0.104114027,0.27,0.21,0.205,0.14,0.777777778,0.759259259,0.277777778,0.481481481,0.518518519,
GM_00l_pb08f01,GM,0,pb08,9,15,n,y,n,n,0.055965265,0.55,0.405,0.4,0.27,0.736363636,0.727272727,0.218181818,0.509090909,0.490909091,
GM_00l_pb08f02,GM,0,pb08,9,15,n,y,n,n,0.055965265,0.72,0.61,0.52,0.39,0.847222222,0.722222222,0.263888889,0.458333333,0.541666667,
GM_00l_pb08f03,GM,0,pb08,9,15,y,y,n,n,0.055965265,0.325,0.235,0.255,0.16,0.723076923,0.784615385,0.276923077,0.507692308,0.492307692,5.83
GM_00l_pb08f04,GM,0,pb08,9,15,y,y,n,n,0.055965265,0.55,0.44,0.435,0.285,0.8,0.790909091,0.309090909,0.481818182,0.518181818,
GM_00l_pb08f05,GM,0,pb08,9,15,y,y,n,n,0.055965265,0.615,0.525,0.485,0.305,0.853658537,0.788617886,0.284552846,0.504065041,0.495934959,6.06
GM_00l_pb08f06,GM,0,pb08,9,15,y,y,n,n,0.055965265,0.68,0.55,0.535,0.325,0.808823529,0.786764706,0.264705882,0.522058824,0.477941176,
GM_00l_pb08f07,GM,0,pb08,9,15,y,y,n,n,0.055965265,0.52,0.405,0.37,0.265,0.778846154,0.711538462,0.221153846,0.490384615,0.509615385,
GM_00l_pb09f02,GM,0,pb09,2,7.5,y,y,n,n,0.032832231,0.3,0.21,0.205,0.145,0.7,0.683333333,0.166666667,0.516666667,0.483333333,
GM_00l_pb09f03,GM,0,pb09,2,7.5,n,y,n,n,0.032832231,0.47,0.32,0.385,0.215,0.680851064,0.819148936,0.276595745,0.542553191,0.457446809,
GM_00l_pb09f04,GM,0,pb09,2,7.5,n,y,n,n,0.032832231,0.595,0.465,0.455,0.28,0.781512605,0.764705882,0.235294118,0.529411765,0.470588235,
GM_00l_pb09f05,GM,0,pb09,2,7.5,y,y,n,n,0.032832231,0.5,0.38,0.405,0.225,0.76,0.81,0.26,0.55,0.45,4.37
GM_00l_pb09f06,GM,0,pb09,2,7.5,n,y,n,n,0.032832231,0.325,0.235,0.26,0.135,0.723076923,0.8,0.215384615,0.584615385,0.415384615,
GM_00l_pb09f07,GM,0,pb09,2,7.5,y,y,n,n,0.032832231,0.49,0.33,0.41,0.21,0.673469388,0.836734694,0.265306122,0.571428571,0.428571429,4.1
GM_00l_pb10f01,GM,0,pb10,3,7.5,y,y,n,n,0.050827881,0.38,0.285,0.23,0.22,0.75,0.605263158,0.184210526,0.421052632,0.578947368,3.78
GM_00l_pb10f02,GM,0,pb10,3,7.5,n,y,n,n,0.050827881,0.7,0.505,0.535,0.365,0.721428571,0.764285714,0.285714286,0.478571429,0.521428571,
GM_00l_pb10f03,GM,0,pb10,3,7.5,n,y,n,n,0.050827881,0.44,0.335,0.3,0.225,0.761363636,0.681818182,0.193181818,0.488636364,0.511363636,
GM_00l_pb10f04,GM,0,pb10,3,7.5,n,y,n,n,0.050827881,0.535,0.425,0.375,0.275,0.794392523,0.700934579,0.214953271,0.485981308,0.514018692,
GM_00l_pb10f05,GM,0,pb10,3,7.5,n,y,n,n,0.050827881,0.49,0.35,0.32,0.26,0.714285714,0.653061224,0.183673469,0.469387755,0.530612245,
GM_00l_pb10f06,GM,0,pb10,3,7.5,n,y,n,n,0.050827881,0.565,0.425,0.405,0.31,0.752212389,0.716814159,0.265486726,0.451327434,0.548672566,
GM_00l_pb10f07,GM,0,pb10,3,7.5,y,y,n,n,0.050827881,0.51,0.375,0.36,0.25,0.735294118,0.705882353,0.196078431,0.509803922,0.490196078,4.49
GM_10l_pb06f02,GM,10,pb06,15,14,y,y,n,n,0.022135075,0.935,0.68,0.83,0.315,0.727272727,0.887700535,0.22459893,0.663101604,0.336898396,
GM_10l_pb06f11,GM,10,pb06,15,14,n,n,n,n,0.022135075,0.835,0.7,0.775,0.35,0.838323353,0.928143713,0.347305389,0.580838323,0.419161677,
GM_10l_pb06f12,GM,10,pb06,15,14,n,n,n,n,0.022135075,0.88,0.72,0.67,0.33,0.818181818,0.761363636,0.136363636,0.625,0.375,10.16
GM_10l_pb06f14,GM,10,pb06,15,14,n,n,n,n,0.022135075,0.94,0.77,0.76,0.455,0.819148936,0.808510638,0.292553191,0.515957447,0.484042553,9.34
GM_10l_pb07f02,GM,10,pb07,8,13,n,y,y,n,0.016222713,0.76,0.42,0.615,0.32,0.552631579,0.809210526,0.230263158,0.578947368,0.421052632,5.92
GM_10l_pb07f03,GM,10,pb07,8,13,n,y,n,n,0.016222713,1.355,1.055,1.165,0.355,0.778597786,0.859778598,0.121771218,0.73800738,0.26199262,7.54
GM_10l_pb07f06,GM,10,pb07,8,13,n,y,n,n,0.016222713,0.9,0.77,0.76,0.38,0.855555556,0.844444444,0.266666667,0.577777778,0.422222222,7.3
GM_10l_pb07f07,GM,10,pb07,8,13,y,y,n,n,0.016222713,0.695,0.515,0.5,0.36,0.741007194,0.71942446,0.237410072,0.482014388,0.517985612,
GM_10l_pb07f08,GM,10,pb07,8,13,y,y,n,n,0.016222713,0.98,0.81,0.75,0.41,0.826530612,0.765306122,0.183673469,0.581632653,0.418367347,6.73
GM_10l_pb07f09,GM,10,pb07,8,13,n,y,n,n,0.016222713,0.895,0.78,0.735,0.36,0.87150838,0.82122905,0.223463687,0.597765363,0.402234637,
GM_10l_pb08f01,GM,10,pb08,9,15,y,y,n,n,0.029242588,0.54,0.41,0.45,0.245,0.759259259,0.833333333,0.287037037,0.546296296,0.453703704,
GM_10l_pb08f02,GM,10,pb08,9,15,y,y,n,n,0.029242588,0.5,0.38,0.37,0.26,0.76,0.74,0.26,0.48,0.52,
GM_10l_pb08f03,GM,10,pb08,9,15,y,y,n,n,0.029242588,0.63,0.495,0.49,0.29,0.785714286,0.777777778,0.238095238,0.53968254,0.46031746,
GM_10l_pb08f04,GM,10,pb08,9,15,n,y,n,n,0.029242588,0.67,0.565,0.49,0.335,0.843283582,0.731343284,0.231343284,0.5,0.5,
GM_10l_pb08f05,GM,10,pb08,9,15,y,y,n,n,0.029242588,0.665,0.545,0.545,0.28,0.819548872,0.819548872,0.240601504,0.578947368,0.421052632,8.37
GM_10l_pb08f06,GM,10,pb08,9,15,n,y,n,n,0.029242588,0.415,0.32,0.335,0.195,0.771084337,0.807228916,0.277108434,0.530120482,0.469879518,
GM_10l_pb08f07,GM,10,pb08,9,15,y,y,n,n,0.029242588,0.5,0.395,0.41,0.235,0.79,0.82,0.29,0.53,0.47,7.97
GM_10l_pb08f08,GM,10,pb08,9,15,y,y,n,n,0.029242588,0.555,0.445,0.415,0.275,0.801801802,0.747747748,0.243243243,0.504504505,0.495495495,
GM_10l_pb09f01,GM,10,pb09,2,7.5,y,y,y,n,0.035699603,0.6,0.46,0.5,0.24,0.766666667,0.833333333,0.233333333,0.6,0.4,
